"Service Provider","Contact Name",Email,Website,"Primary Phone","Secondary Phone","Street Address",City,State,ZIP,Services,Borough,Certifications/Licenses,"Incentive Program Affiliation","General Description","Market Sectors","Number of Employees","Number of Years in Business","Building Size"
"Brooklyn Greenroof, LLC","Inger Yancey",inger@brooklyngreenroof.com,https://www.brooklyngreenroof.com,718-564-4294,718-564-4294,"42A Monroe Place",Brooklyn,"New York",11201,"Building Envelope/Roof Services, Engineering/Design/Modeling, Green Roof, Turnkey Solutions, Water Conservation","Brooklyn, Bronx, Manhattan, Queens, Staten Island","Minority and Women Owned Business Enterprise (MWBE), Registered Design Professional, Women Owned Business Enterprise (WBE)","DEP Green Infrastructure Grant Program, DOB Green Roof Tax Abatement Program","Brooklyn Green roof brings green roofs to life across New York City rooftops. It is an MWBE certified design/build green roof construction company, founded by a NY State registered architect and a licensed HIC contractor with LEED AP accreditation. These qualifications allow Brooklyn Green roof to work directly with building owners, developers, management companies, and general contractors as well as consultants to architecture firms and other entities. Additionally, the team is well-versed in the various NYC/NY state grant and incentive programs as well as NYC Accelerator PACE Financing. Brooklyn Green roof has an experienced team that offers competitive pricing, efficient installation, and short time frames for project completion.","Affordable Housing, Commercial and Industrial, Healthcare, Institutional",2,14,"Small (0-50K sq. ft)"
"Building Efficiency Services","Esther Halpern",ehalpern@bes-efficiency.com,https://www.bes-efficiency.com,718-510-4836,845-293-2850,"148 Doughty Blvd, Suite 312C",Inwood,"New York",11096,"Air Sealing/Weatherization, Audits/Study/Consultant, Boiler Services, Building Envelope/Roof Services, Chilled Water Hot Water and Stream Distribution Systems, Controls/Energy Management Systems, Domestic Hot Water, Equipment Vendor/Manufacturer, Heat Pumps, HVAC, Insulation, Lighting, Local Law 84, Local Law 87, LL88 (Verification/Filing), LL88 (Install), LL88 (Turnkey = Turnkey = Install, Verify, File), LL97, LL97 A321 (Verification/Filing), LL97 A321 (Install), LL97 A321 (Turnkey = Turnkey = Install, Verify, File), Master Venting, Packaged Terminal Air, Pipe Insulation, Prescriptive Pathway (All 13 PECM's), Retro-Commissioning, Steam Heating, Windows/Fenestration","Brooklyn, Bronx, Manhattan, Queens, Staten Island","Electrician License, Master Electricians License, Registered Design Professional, Retro Commissioning Agent","Con Edison Small-Medium Business Program (SMB), Con Edison Multifamily Program (MFEEP), Con Edison Commercial and Industrial (C&I), National Grid Multifamily Program, NYS Affordable Multifamily Energy Efficiency (AMEEP), NYSERDA Clean Heat Program","Building Efficiency Services offers implementation of LL97 Prescriptive Pathway Measures, LL87 navigation and corrective measures repairs, steam trap testing/repair/replace, TRV install, master venting calculations and installation, pipe Insulation, orifice plates, radiant barriers, air sealing, wireless system implementation (Trav and Leak Sensors), full steam retrofits, steam balancing, and BMS/EMS controls. Local Law 84 (LL84), Local Law 87 (LL87), Local Law 88 (LL88), Local Law 97 (LL97)","Affordable Housing, Commercial and Industrial, Healthcare, Institutional, Multifamily Market Rate",9,8,"Medium (50K-250K sq. ft)"
"Bureau Veritas Technical Assessments LLC","Coryn DeGrands",coryn.degrands@bureauveritas.com,https://www.bvna.com,724-991-8194,310-400-2633,"6021 University Boulevard, Suite 200-210","Ellicott City",Maryland,21043,"Audits/Study/Consultant, LL88 (Verification/Filing), LL97 A321 (Verification/Filing), Special Inspection","Brooklyn, Bronx, Manhattan, Queens, Staten Island","Registered Design Professional, Retro Commissioning Agent",,"Our company specializes in providing comprehensive energy efficiency and sustainability services to help buildings reduce energy consumption, lower carbon emissions, and achieve compliance with local energy regulations. We offer energy audits, retro-commissioning, building performance analysis, and decarbonization strategies tailored to meet the unique needs of each property.

Our team of experts provides end-to-end support, including identifying cost-effective energy upgrades, managing project implementation, and securing available incentives and rebates. Weare committed to delivering innovative, high-impact solutions that enhance building performance, improve occupant comfort, and drive long-term energy savings. Whether it’s achieving compliance with Local Law 97 or implementing renewable energy solutions, we work collaboratively with property owners and managers to create a more sustainable future.","Affordable Housing, Commercial and Industrial, Healthcare, Institutional, Multifamily Market Rate",800,39,"Small (0-50K sq. ft), Medium (50K-250K sq. ft), Large (250K+ sq. ft)"
"Carleton Energy Consulting","Yael Amron",yael@carletonec.com,https://www.carletonec.com,646-596-4183,917-697-4424,"818 Avenue of the Americas, Suite 4N","New York","New York",10001,"Air Sealing/Weatherization, Audits/Study/Consultant, Building Envelope/Roof Services, Chilled Water Hot Water and Stream Distribution Systems, Insulation, Local Law 84, Local Law 87, LL88 (Verification/Filing), LL88 (Install), LL88 (Turnkey = Turnkey = Install, Verify, File), LL97 A321 (Verification/Filing), LL97 A321 (Install), LL97 A321 (Turnkey = Turnkey = Install, Verify, File), Pipe Insulation, Retro-Commissioning, Water Conservation","Brooklyn, Bronx, Manhattan, Queens, Staten Island","Registered Design Professional, Retro Commissioning Agent","Con Edison Multifamily Program (MFEEP), National Grid Multifamily Program, National Grid General Rebates, NYS Affordable Multifamily Energy Efficiency (AMEEP), NYSERDA MPP","Carleton Energy Consulting is an energy efficiency firm providing consulting and in-building retrofits and upgrades to its clients. The company's energy auditors and engineers assist building owners, managers, and co-op boards in achieving compliance with Local Laws 84, 87, and 97, as well as offer ASHRAE Level I and II audits/energy analyses. Additionally, the company assists with in-building efficiency upgrades, like insulating steam/return/hot water/cold water pipes, boilers and tanks, installing venting on steam lines, weatherizing doors, and fixing broken steam traps. To address some of the additional PECMs under LL97's article 321, CEC sells radiant barriers as well as AC covers.","Affordable Housing, Commercial and Industrial, Healthcare, Institutional, Multifamily Market Rate, Small-Medium Businesses",21,12,"Small (0-50K sq. ft)"
"Climate Change & Environmental Services, LLC","Marc Karell",karell@CCESworld.com,https://www.CCESworld.com,914-584-6720,914-584-6720,"1506 Henry Avenue",Mamaroneck,"New York",10543,"Audits/Study/Consultant, Controls/Energy Management Systems, Local Law 87, LL88 (Verification/Filing), LL97, LL97 A321 (Verification/Filing), Retro-Commissioning","Brooklyn, Bronx, Manhattan, Queens, Staten Island","Registered Design Professional","Con Edison Small-Medium Business Program (SMB)","Climate Change & Environmental Services (CCES) performs ASHRAE Level I, II, and III energy audits for diverse buildings, including, but not limited to, multifamily residences, temporary residences (homeless shelters, hotels, etc.), office buildings, warehouses, houses of worship, schools, manufacturing, etc. CCES is certified and has successfully submitted many EER reports for LL 87 compliance in NYC. The firm has helped many building owners and managers assess their potential LL 97 liability and determined likely compliance and potential fines starting in 2024. CCES can recommend the best strategies to reduce LL 97 liability and can project manage the energy efficiency or clean energy projects that building owners select to ensure that the upgrades are installed properly, and the building owner gets the full anticipated benefits, including LL 97 fine reduction and energy usage and Con Ed cost reductions. Local Law 87 (LL87), Local Law 88 (LL88),
Local Law 97 (LL97)","Commercial and Industrial, Institutional, Multifamily Market Rate",1,12,"Medium (50K-250K sq. ft)"
"CodeGreen Solutions, Inc.","Thomas Walsh",twalsh@codegreensolutions.com,https://www.codegreen.com,800-921-4262,347-585-7776,"1155 Avenue of the Americas, Suite 1900","New York","New York",10036,"Audits/Study/Consultant, Engineering/Design/Modeling, Energy Modeling, Local Law 84, Local Law 87, LL97","Brooklyn, Bronx, Manhattan, Queens, Staten Island","Registered Design Professional","NYSERDA FlexTech, NYSERDA Clean Heat Program","CodeGreen Solutions, Inc., established in 2006, is a national leader in sustainability and energy efficiency, having provided sustainable building solutions to over 500 million square feet of commercial real estate across the United States. CodeGreen establishes long-term relationships with building owners, developers, building managers, operators, and occupants to develop innovative, strategic and creative solutions for achieving sustainability goals, reducing energy costs and improving overall environmental footprint. Relevant services include: Energy Benchmarking/Local Law 84 compliance, Energy Engineering/Local Law 87 compliance, Local Law 97 analyses/Decarbonization Roadmaps.","Commercial and Industrial, Multifamily Market Rate",70,15,"Large (250K+ sq. ft)"
"Collado Engineering","Christopher Mias",cmias@collado-eng.com,https://www.collado-eng.com,914-332-7658,845-519-7612,"445 Hamilton Avenue - Suite 608","White Plains","New York",10601,"Audits/Study/Consultant, Boiler Services, Chilled Water Hot Water and Stream Distribution Systems, Controls/Energy Management Systems, Domestic Hot Water, EC Motors, Engineering/Design/Modeling, Energy Modeling, Heat Pumps, HVAC, Hydronic Heating, Insulation, Lighting, Local Law 84, Local Law 87, LL88 (Verification/Filing), LL97 A321 (Verification/Filing), Master Venting, Mechanical/MEP, Packaged Terminal Air, Passive House, Pipe Insulation, Retro-Commissioning, Steam Heating, Water Conservation","Brooklyn, Bronx, Manhattan, Queens, Staten Island","Registered Design Professional","Con Edison Multifamily Program (MFEEP), Con Edison Commercial and Industrial (C&I), NYSERDA FlexTech, NYSERDA Clean Heat Program","Collado Engineering is an MEP Design firm that handles new construction, renovations, upgrades, and retrofits in buildings of all types (commercial, residential, landmarked/historical, institutional, healthcare) in both public and private sectors. Collado Engineering also provides energy consulting services including energy audits, retro-commissioning, feasibility studies, utility consumption reviews, carbon emission evaluations, benchmarking, energy modeling, and rebate processing. The firm has come to integrate these energy processes into its main design process to create a seamless client experience from project conception, development, design, permitting, construction administration, and signoffs. Design, Hydronic Heating, Local Law 84 (LL84), Local Law 87 (LL87), Local Law 88 (LL88), Local Law 97 (LL97), Master Venting, Packaged Terminal Air Conditioner, Pipe Insulation.","Affordable Housing, Commercial and Industrial, Institutional, Multifamily Market Rate, Small-Medium Businesses",19,23,"Medium (50K-250K sq. ft)"
"CSA Group NY Architects & Engineers. PC","iljoong (ij) kim",ikim@csagroup.com,https://www.csagroup.com,212-677-0777,646-255-4676,"55 Broadway, 14th Fl.","New York","New York",10006,"Architecture, Building Representatives, Engineering/Design/Modeling, Engineering/Structural Engineering, LL97","Brooklyn, Bronx, Manhattan, Queens, Staten Island","Minority Owned Business Enterprise (MBE), Registered Design Professional",,"CSA Group offers assessment and solutions tailored to each client in reducing carbon footprint of existing buildings through comprehensive approaches in building design, engineering, and construction management. We are subject matter experts focused, result driven, and committed to provide clients with right solutions for carbon reduction and Local Law 97 compliance.","Affordable Housing, Commercial and Industrial, Healthcare, Institutional",100,40,"Large (250K+ sq. ft)"
"Daylight Savings Company","Liese Boese",lboese@daylightsavings.us,https://www.daylightavings.us,"845-291-1275 ext 1001","845-291-1275 ext 1005","48 North Church Street",Goshen,"New York",10924,"Audits/Study/Consultant, Engineering/Design/Modeling, Energy Modeling, Local Law 84, Local Law 87, LL88 (Verification/Filing), LL97 A321 (Verification/Filing), Passive House, Prescriptive Pathway (All 13 PECM's), Retro-Commissioning","Brooklyn, Bronx, Manhattan, Queens, Staten Island","Registered Design Professional, Retro Commissioning Agent","Con Edison Commercial and Industrial (C&I), National Grid General Rebates, NYS Affordable Multifamily Energy Efficiency (AMEEP), NYSERDA FlexTech, NYSERDA MPP, NYSERDA Low Carbon Pathways for Multifamily Buildings, NYSERDA Real Time Management Program (RTEM), NYSERDA New Construction (Housing PON 4337), NYSERDA Commercial New Construction Program (PON 3609), NYSERDA Clean Heat Program, NYSERDA Clean Heating and Cooling Screenings for Large Buildings","In-house staff has the necessary skills and certifications: Professional Engineer (PE), energy modeling, NYSERDA and Con Edison programs, NYS/NYC Energy Codes, Existing Building Commissioning Professionals (EBCP), Building Analysts via Building Performance Institute (BPI), Certified Energy Managers (CEM), Distributed Generation / Combined Heat and Power Professionals (DGCHP). We service government, hospitality, commercial, healthcare, educational, multifamily, industrial, agricultural and retail markets.","Affordable Housing, Commercial and Industrial, Healthcare, Institutional, Multifamily Market Rate",10,32,"Medium (50K-250K sq. ft)"
"E4P Consulting Engineering PLLC","Ramez Afify",ra@e4pmep.com,https://www.e4pmep.com,212-213-6287,917-217-8215,"134 W 29th St. Ste 1003","New York","New York",10001,"Audits/Study/Consultant, Engineering/Design/Modeling, HVAC, LL88 (Verification/Filing), LL97 A321 (Verification/Filing), Mechanical/MEP","Brooklyn, Bronx, Manhattan, Queens, Staten Island","Registered Design Professional, Retro Commissioning Agent",,"Design of MEP, energy modeling, HVAC and electrical calculations, commissioning, retro commissioning, MEP surveys.","Affordable Housing, Commercial and Industrial, Institutional, Multifamily Market Rate",12,12,"Small (0-50K sq. ft), Medium (50K-250K sq. ft), Large (250K+ sq. ft)"
